Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
Лучшее предложение!Рядом с метро!;1-комн. квартира, 31 м?;Москва, ЮАО, р-н Чертаново Южное, ул. Подольских Курсантов, 12К1;2 000 ?/сутки;2 из 9;31 м?;сегодня, 10:32;https://www.cian.ru/rent/flat/193767795/;['https://cdn-p.cian.site/images/8/879/248/kvartira-moskva-ulica-podolskih-kursantov-842978834-4.jpg', 'https://cdn-p.cian.site/images/8/879/248/kvartira-moskva-ulica-podolskih-kursantov-842978834-4.jpg', 'https://cdn-p.cian.site/images/8/879/248/kvartira-moskva-ulica-podolskih-kursantov-842978835-2.jpg', 'https://cdn-p.cian.site/images/8/879/248/kvartira-moskva-ulica-podolskih-kursantov-842978842-2.jpg', 'https://cdn-p.cian.site/images/8/879/248/kvartira-moskva-ulica-podolskih-kursantov-842978885-2.jpg']
;;;;;;;;
Лучшее предложение!Рядом с метро!;1-комн. квартира, 33 м?;Москва, ЮАО, р-н Чертаново Центральное, Чертановская ул., 39К1;2 000 ?/сутки;8 из 9;33 м?;сегодня, 10:16;https://www.cian.ru/rent/flat/147330842/;['https://cdn-p.cian.site/images/8/036/348/kvartira-moskva-chertanovskaya-ulica-843630886-4.jpg', 'https://cdn-p.cian.site/images/8/036/348/kvartira-moskva-chertanovskaya-ulica-843630886-4.jpg', 'https://cdn-p.cian.site/images/8/036/348/kvartira-moskva-chertanovskaya-ulica-843630890-2.jpg', 'https://cdn-p.cian.site/images/8/036/348/kvartira-moskva-chertanovskaya-ulica-843630889-2.jpg', 'https://cdn-p.cian.site/images/8/036/348/kvartira-moskva-chertanovskaya-ulica-843630895-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;2-комн. квартира, 50 м?;Москва, ЮВАО, р-н Южнопортовый, 5-я Кожуховская ул., 13;3 200 ?/сутки;12 из 12;50 м?;сегодня, 03:49;https://www.cian.ru/rent/flat/232571946/;['https://cdn-p.cian.site/images/2/019/088/kvartira-moskva-5ya-kozhuhovskaya-ulica-880910208-4.jpg', 'https://cdn-p.cian.site/images/2/019/088/kvartira-moskva-5ya-kozhuhovskaya-ulica-880910208-4.jpg', 'https://cdn-p.cian.site/images/1/019/088/kvartira-moskva-5ya-kozhuhovskaya-ulica-880910198-2.jpg', 'https://cdn-p.cian.site/images/1/019/088/kvartira-moskva-5ya-kozhuhovskaya-ulica-880910145-2.jpg', 'https://cdn-p.cian.site/images/1/019/088/kvartira-moskva-5ya-kozhuhovskaya-ulica-880910140-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Apartmentmoscowcity 74 этаж 100кв;2-комн. апартаменты, 100 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2;15 000 ?/сутки;74 из 85;100 м?;сегодня, 07:51;https://www.cian.ru/rent/flat/191710743/;['https://cdn-p.cian.site/images/6/964/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868469656-4.jpg', 'https://cdn-p.cian.site/images/6/964/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868469656-4.jpg', 'https://cdn-p.cian.site/images/7/997/356/kvartira-moskva-1y-krasnogvardeyskiy-proezd-653799758-2.jpg', 'https://cdn-p.cian.site/images/6/964/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868469658-2.jpg', 'https://cdn-p.cian.site/images/2/008/356/kvartira-moskva-1y-krasnogvardeyskiy-proezd-653800271-2.jpg', 'https://www.cian.ru/avatar.axd?i=3047955&t=2&p=2']
;;;;;;;;
На сутки ! На ночь ! На часы !;1-комн. квартира, 32 м?;Москва, ЦАО, р-н Пресненский, ул. Трехгорный Вал, 20;2 500 ?/сутки;2 из 9;32 м?;сегодня, 12:52;https://www.cian.ru/rent/flat/250511439/;['https://cdn-p.cian.site/images/41/380/301/posutochnaja-kvartira-moskva-ulica-trehgornyy-val-1030831487-4.jpg', 'https://cdn-p.cian.site/images/41/380/301/posutochnaja-kvartira-moskva-ulica-trehgornyy-val-1030831487-4.jpg', 'https://cdn-p.cian.site/images/41/380/301/posutochnaja-kvartira-moskva-ulica-trehgornyy-val-1030831486-2.jpg', 'https://cdn-p.cian.site/images/41/380/301/posutochnaja-kvartira-moskva-ulica-trehgornyy-val-1030831481-2.jpg', 'https://cdn-p.cian.site/images/41/380/301/posutochnaja-kvartira-moskva-ulica-trehgornyy-val-1030831484-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
1-комн. кв., 40 м?, 10/20 этаж;1-комн. квартира, 40 м?;Москва, ЮАО, р-н Орехово-Борисово Южное, Каширское ш., 65К1;2 500 ?/сутки;10 из 20;40 м?;сегодня, 13:38;https://www.cian.ru/rent/flat/204831858/;['https://cdn-p.cian.site/images/5/487/666/kvartira-moskva-kashirskoe-shosse-666784537-4.jpg', 'https://cdn-p.cian.site/images/5/487/666/kvartira-moskva-kashirskoe-shosse-666784537-4.jpg', 'https://cdn-p.cian.site/images/5/487/666/kvartira-moskva-kashirskoe-shosse-666784557-2.jpg', 'https://cdn-p.cian.site/images/5/487/666/kvartira-moskva-kashirskoe-shosse-666784576-2.jpg', 'https://cdn-p.cian.site/images/5/487/666/kvartira-moskva-kashirskoe-shosse-666784584-2.jpg', 'https://www.cian.ru/avatar.axd?i=140940&t=2&p=2']
;;;;;;;;
ОКО Polaris3  74 этаж башня ОКО;1-комн. апартаменты, 45 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2;15 000 ?/сутки;74 из 84;45 м?;сегодня, 07:20;https://www.cian.ru/rent/flat/230501315/;['https://cdn-p.cian.site/images/8/074/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868470893-4.jpg', 'https://cdn-p.cian.site/images/8/074/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868470893-4.jpg', 'https://cdn-p.cian.site/images/6/074/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868470609-2.jpg', 'https://cdn-p.cian.site/images/6/074/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868470650-2.jpg', 'https://cdn-p.cian.site/images/6/074/868/kvartira-moskva-1y-krasnogvardeyskiy-proezd-868470692-2.jpg', 'https://www.cian.ru/avatar.axd?i=3047955&t=2&p=2']
;;;;;;;;
Oko Alruba 51 этаж башни ОКО;2-комн. апартаменты, 87 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с1;13 000 ?/сутки;51 из 84;87 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/153921096/;['https://cdn-p.cian.site/images/2/150/066/kvartira-moskva-1y-krasnogvardeyskiy-proezd-660051248-4.jpg', 'https://cdn-p.cian.site/images/2/150/066/kvartira-moskva-1y-krasnogvardeyskiy-proezd-660051248-4.jpg', 'https://cdn-p.cian.site/images/2/150/066/kvartira-moskva-1y-krasnogvardeyskiy-proezd-660051212-2.jpg', 'https://cdn-p.cian.site/images/1/150/066/kvartira-moskva-1y-krasnogvardeyskiy-proezd-660051180-2.jpg', 'https://cdn-p.cian.site/images/1/150/066/kvartira-moskva-1y-krasnogvardeyskiy-proezd-660051132-2.jpg', 'https://www.cian.ru/avatar.axd?i=3047955&t=2&p=2']
;;;;;;;;
Лучшее предложение рядом с метро!;2-комн. апартаменты, 45 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23К7;2 000 ?/сутки;3 из 4;45 м?;сегодня, 07:56;https://www.cian.ru/rent/flat/247002423/;['https://cdn-p.cian.site/images/33/204/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1004023385-4.jpg', 'https://cdn-p.cian.site/images/33/204/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1004023385-4.jpg', 'https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942423-2.jpg', 'https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942440-2.jpg', 'https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942422-2.jpg']
;;;;;;;;
3-комн. кв., 57 м?, 7/16 этаж;3-комн. квартира, 57 м?;Москва, ЮАО, р-н Даниловский, Большая Тульская ул., 2;3 490 ?/сутки;7 из 16;57 м?;сегодня, 14:32;https://www.cian.ru/rent/flat/148637043/;['https://cdn-p.cian.site/images/4/894/941/kvartira-moskva-bolshaya-tulskaya-ulica-149498457-4.jpg', 'https://cdn-p.cian.site/images/4/894/941/kvartira-moskva-bolshaya-tulskaya-ulica-149498457-4.jpg', 'https://cdn-p.cian.site/images/1/048/841/kvartira-moskva-bolshaya-tulskaya-ulica-148840186-2.jpg', 'https://cdn-p.cian.site/images/4/894/941/kvartira-moskva-bolshaya-tulskaya-ulica-149498448-2.jpg', 'https://cdn-p.cian.site/images/4/894/941/kvartira-moskva-bolshaya-tulskaya-ulica-149498450-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 30 м?;Москва, СЗАО, р-н Строгино, Строгинский бул., 4К1;2 300 ?/сутки;11 из 12;30 м?;сегодня, 19:32;https://www.cian.ru/rent/flat/245146661/;['https://cdn-p.cian.site/images/6/402/489/posutochnaja-kvartira-moskva-stroginskiy-bulvar-984204603-4.jpg', 'https://cdn-p.cian.site/images/6/402/489/posutochnaja-kvartira-moskva-stroginskiy-bulvar-984204603-4.jpg', 'https://cdn-p.cian.site/images/5/402/489/posutochnaja-kvartira-moskva-stroginskiy-bulvar-984204585-2.jpg', 'https://cdn-p.cian.site/images/5/402/489/posutochnaja-kvartira-moskva-stroginskiy-bulvar-984204596-2.jpg', 'https://cdn-p.cian.site/images/5/402/489/posutochnaja-kvartira-moskva-stroginskiy-bulvar-984204579-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Все апартаменты в Сити. 24/7;3-комн. апартаменты, 222 м?;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1;50 000 ?/сутки;37 из 75;222 м?;сегодня, 08:11;https://www.cian.ru/rent/flat/249548088/;['https://cdn-p.cian.site/images/63/512/201/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1022153600-4.jpg', 'https://cdn-p.cian.site/images/63/512/201/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1022153600-4.jpg', 'https://cdn-p.cian.site/images/53/512/201/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1022153584-2.jpg', 'https://cdn-p.cian.site/images/63/512/201/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1022153604-2.jpg', 'https://cdn-p.cian.site/images/53/512/201/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1022153590-2.jpg', 'https://www.cian.ru/avatar.axd?i=233431&t=2&p=2']
;;;;;;;;
Изолированная трешка. Парковка.;3-комн. квартира, 101 м?;Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 31/12;6 500 ?/сутки;10 из 12;101 м?;сегодня, 21:30;https://www.cian.ru/rent/flat/150616696/;['https://cdn-p.cian.site/images/4/311/154/kvartira-moskva-ulica-novyy-arbat-451113444-4.jpg', 'https://cdn-p.cian.site/images/4/311/154/kvartira-moskva-ulica-novyy-arbat-451113444-4.jpg', 'https://cdn-p.cian.site/images/3/311/154/kvartira-moskva-ulica-novyy-arbat-451113370-2.jpg', 'https://cdn-p.cian.site/images/3/311/154/kvartira-moskva-ulica-novyy-arbat-451113359-2.jpg', 'https://cdn-p.cian.site/images/5/311/154/kvartira-moskva-ulica-novyy-arbat-451113509-2.jpg']
;;;;;;;;
Кремль! Пешая доступность;3-комн. апартаменты, 57 м?;Москва, ЦАО, р-н Басманный, пер. Гусятников, 9;4 200 ?/сутки;1 из 9;57 м?;сегодня, 14:52;https://www.cian.ru/rent/flat/237897005/;['https://cdn-p.cian.site/images/5/989/859/kvartira-moskva-pereulok-gusyatnikov-958989575-4.jpg', 'https://cdn-p.cian.site/images/5/989/859/kvartira-moskva-pereulok-gusyatnikov-958989575-4.jpg', 'https://cdn-p.cian.site/images/5/989/859/kvartira-moskva-pereulok-gusyatnikov-958989576-2.jpg', 'https://cdn-p.cian.site/images/5/989/859/kvartira-moskva-pereulok-gusyatnikov-958989579-2.jpg', 'https://cdn-p.cian.site/images/5/989/859/kvartira-moskva-pereulok-gusyatnikov-958989580-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
1-комн. кв., 45 м?, 4/7 этаж;1-комн. квартира, 45 м?;Москва, ЗАО, р-н Дорогомилово, ул. Генерала Ермолова, 8;2 500 ?/сутки;4 из 7;45 м?;сегодня, 07:22;https://www.cian.ru/rent/flat/251668659/;['https://cdn-p.cian.site/images/87/170/401/posutochnaja-kvartira-moskva-ulica-generala-ermolova-1040717873-4.jpg', 'https://cdn-p.cian.site/images/87/170/401/posutochnaja-kvartira-moskva-ulica-generala-ermolova-1040717873-4.jpg', 'https://cdn-p.cian.site/images/77/170/401/posutochnaja-kvartira-moskva-ulica-generala-ermolova-1040717792-2.jpg', 'https://cdn-p.cian.site/images/77/170/401/posutochnaja-kvartira-moskva-ulica-generala-ermolova-1040717799-2.jpg', 'https://cdn-p.cian.site/images/87/170/401/posutochnaja-kvartira-moskva-ulica-generala-ermolova-1040717829-2.jpg', 'https://www.cian.ru/avatar.axd?i=591370&t=2&p=2']
;;;;;;;;
Новая двухкомнатная квартира !;2-комн. квартира, 45 м?;Москва, ЮЗАО, р-н Академический, ул. Винокурова, 12К1;3 500 ?/сутки;4 из 5;45 м?;сегодня, 19:51;https://www.cian.ru/rent/flat/253906057/;['https://cdn-p.cian.site/images/00/462/601/posutochnaja-kvartira-moskva-ulica-vinokurova-1062640041-4.jpg', 'https://cdn-p.cian.site/images/00/462/601/posutochnaja-kvartira-moskva-ulica-vinokurova-1062640041-4.jpg', 'https://cdn-p.cian.site/images/00/462/601/posutochnaja-kvartira-moskva-ulica-vinokurova-1062640045-2.jpg', 'https://cdn-p.cian.site/images/00/462/601/posutochnaja-kvartira-moskva-ulica-vinokurova-1062640071-2.jpg', 'https://cdn-p.cian.site/images/00/462/601/posutochnaja-kvartira-moskva-ulica-vinokurova-1062640067-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 40 м?;Москва, ВАО, р-н Новогиреево, Зеленый просп., 63;2 700 ?/сутки;5 из 5;40 м?;сегодня, 19:01;https://www.cian.ru/rent/flat/225804532/;['https://cdn-p.cian.site/images/2/400/628/kvartira-moskva-zelenyy-prospekt-826004283-4.jpg', 'https://cdn-p.cian.site/images/2/400/628/kvartira-moskva-zelenyy-prospekt-826004283-4.jpg', 'https://cdn-p.cian.site/images/2/400/628/kvartira-moskva-zelenyy-prospekt-826004284-2.jpg', 'https://cdn-p.cian.site/images/2/400/628/kvartira-moskva-zelenyy-prospekt-826004285-2.jpg', 'https://cdn-p.cian.site/images/2/400/628/kvartira-moskva-zelenyy-prospekt-826004297-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Апартаменты в Доме Правительства!;2-комн. квартира, 74 м?;Москва, ЦАО, р-н Якиманка, ул. Серафимовича, 2;5 900 ?/сутки;10 из 12;74 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/206630981/;['https://cdn-p.cian.site/images/8/043/086/kvartira-moskva-ulica-serafimovicha-680340838-4.jpg', 'https://cdn-p.cian.site/images/8/043/086/kvartira-moskva-ulica-serafimovicha-680340838-4.jpg', 'https://cdn-p.cian.site/images/2/399/648/kvartira-moskva-ulica-serafimovicha-846993276-2.jpg', 'https://cdn-p.cian.site/images/8/043/086/kvartira-moskva-ulica-serafimovicha-680340837-2.jpg', 'https://cdn-p.cian.site/images/8/043/086/kvartira-moskva-ulica-serafimovicha-680340839-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 55 м?;Москва, ЮЗАО, р-н Зюзино, Нахимовский просп., 9К1;3 200 ?/сутки;12 из 14;55 м?;сегодня, 16:56;https://www.cian.ru/rent/flat/223489444/;['https://cdn-p.cian.site/images/6/309/308/kvartira-moskva-nahimovskiy-prospekt-803903601-4.jpg', 'https://cdn-p.cian.site/images/6/309/308/kvartira-moskva-nahimovskiy-prospekt-803903601-4.jpg', 'https://cdn-p.cian.site/images/5/309/308/kvartira-moskva-nahimovskiy-prospekt-803903592-2.jpg', 'https://cdn-p.cian.site/images/6/309/308/kvartira-moskva-nahimovskiy-prospekt-803903604-2.jpg', 'https://cdn-p.cian.site/images/6/309/308/kvartira-moskva-nahimovskiy-prospekt-803903601-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Волшебный Старый Арбат;1-комн. квартира, 38 м?;Москва, ЦАО, р-н Арбат, пер. Калошин, 6С1;3 300 ?/сутки;8 из 9;38 м?;сегодня, 13:32;https://www.cian.ru/rent/flat/149107078/;['https://cdn-p.cian.site/images/7/050/451/kvartira-moskva-pereulok-kaloshin-154050777-4.jpg', 'https://cdn-p.cian.site/images/7/050/451/kvartira-moskva-pereulok-kaloshin-154050777-4.jpg', 'https://cdn-p.cian.site/images/7/050/451/kvartira-moskva-pereulok-kaloshin-154050777-2.jpg', 'https://cdn-p.cian.site/images/7/050/451/kvartira-moskva-pereulok-kaloshin-154050769-2.jpg', 'https://cdn-p.cian.site/images/7/050/451/kvartira-moskva-pereulok-kaloshin-154050776-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
Студия на Павелецкой;1-комн. квартира, 35 м?;Москва, ЦАО, р-н Замоскворечье, Дубининская ул., 2;3 300 ?/сутки;9 из 9;35 м?;вчера, 15:16;https://www.cian.ru/rent/flat/165398527/;['https://cdn-p.cian.site/images/2/085/933/kvartira-moskva-dubininskaya-ulica-339580213-4.jpg', 'https://cdn-p.cian.site/images/2/085/933/kvartira-moskva-dubininskaya-ulica-339580213-4.jpg', 'https://cdn-p.cian.site/images/2/085/933/kvartira-moskva-dubininskaya-ulica-339580205-2.jpg', 'https://cdn-p.cian.site/images/2/085/933/kvartira-moskva-dubininskaya-ulica-339580223-2.jpg', 'https://cdn-p.cian.site/images/2/085/933/kvartira-moskva-dubininskaya-ulica-339580207-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;1-комн. квартира, 30 м?;Москва, СЗАО, р-н Строгино, ул. Твардовского, 2К2;2 300 ?/сутки;7 из 8;30 м?;вчера, 19:25;https://www.cian.ru/rent/flat/245146720/;['https://cdn-p.cian.site/images/7/502/489/posutochnaja-kvartira-moskva-ulica-tvardovskogo-984205768-4.jpg', 'https://cdn-p.cian.site/images/7/502/489/posutochnaja-kvartira-moskva-ulica-tvardovskogo-984205768-4.jpg', 'https://cdn-p.cian.site/images/7/502/489/posutochnaja-kvartira-moskva-ulica-tvardovskogo-984205778-2.jpg', 'https://cdn-p.cian.site/images/7/502/489/posutochnaja-kvartira-moskva-ulica-tvardovskogo-984205781-2.jpg', 'https://cdn-p.cian.site/images/7/502/489/posutochnaja-kvartira-moskva-ulica-tvardovskogo-984205774-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Уютная студия!Свободна!ЦАО!;Апартаменты-студия, 14 м?;Москва, ЦАО, р-н Басманный, Балакиревский пер., 23;1 787 ?/сутки;3 из 5;14 м?;сегодня, 07:09;https://www.cian.ru/rent/flat/237215460/;['https://cdn-p.cian.site/images/5/488/029/kvartira-moskva-balakirevskiy-pereulok-920884593-4.jpg', 'https://cdn-p.cian.site/images/5/488/029/kvartira-moskva-balakirevskiy-pereulok-920884593-4.jpg', 'https://cdn-p.cian.site/images/5/488/029/kvartira-moskva-balakirevskiy-pereulok-920884587-2.jpg', 'https://cdn-p.cian.site/images/5/488/029/kvartira-moskva-balakirevskiy-pereulok-920884570-2.jpg', 'https://cdn-p.cian.site/images/5/488/029/kvartira-moskva-balakirevskiy-pereulok-920884580-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
На сутки ! На ночь ! на часы !;1-комн. квартира, 25 м?;Москва, ЦАО, р-н Пресненский, Большая Грузинская ул., 63С1;2 500 ?/сутки;5 из 9;25 м?;вчера, 13:41;https://www.cian.ru/rent/flat/241307099/;['https://cdn-p.cian.site/images/4/465/459/kvartira-moskva-bolshaya-gruzinskaya-ulica-954564423-4.jpg', 'https://cdn-p.cian.site/images/4/465/459/kvartira-moskva-bolshaya-gruzinskaya-ulica-954564423-4.jpg', 'https://cdn-p.cian.site/images/4/465/459/kvartira-moskva-bolshaya-gruzinskaya-ulica-954564425-2.jpg', 'https://cdn-p.cian.site/images/2/611/189/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-981116284-2.jpg', 'https://cdn-p.cian.site/images/4/465/459/kvartira-moskva-bolshaya-gruzinskaya-ulica-954564422-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;1-комн. квартира, 40 м?;Москва, ВАО, р-н Новокосино, Новокосинская ул., 18;2 900 ?/сутки;7 из 7;40 м?;сегодня, 04:02;https://www.cian.ru/rent/flat/224651906/;['https://cdn-p.cian.site/images/1/011/738/kvartira-moskva-novokosinskaya-ulica-837110126-4.jpg', 'https://cdn-p.cian.site/images/1/011/738/kvartira-moskva-novokosinskaya-ulica-837110126-4.jpg', 'https://cdn-p.cian.site/images/1/011/738/kvartira-moskva-novokosinskaya-ulica-837110187-2.jpg', 'https://cdn-p.cian.site/images/1/011/738/kvartira-moskva-novokosinskaya-ulica-837110135-2.jpg', 'https://cdn-p.cian.site/images/3/111/738/kvartira-moskva-novokosinskaya-ulica-837111393-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Панорамные апартаменты у мМитино!;Апартаменты-студия, 30 м?;Москва, СЗАО, р-н Митино, Митинская ул., 16;2 999 ?/сутки;5 из 25;30 м?;сегодня, 18:07;https://www.cian.ru/rent/flat/214894938/;['https://cdn-p.cian.site/images/9/021/748/kvartira-moskva-mitinskaya-ulica-847120980-4.jpg', 'https://cdn-p.cian.site/images/9/021/748/kvartira-moskva-mitinskaya-ulica-847120980-4.jpg', 'https://cdn-p.cian.site/images/4/947/437/kvartira-moskva-mitinskaya-ulica-734749415-2.jpg', 'https://cdn-p.cian.site/images/7/909/257/kvartira-moskva-mitinskaya-ulica-752909745-2.jpg', 'https://cdn-p.cian.site/images/4/947/437/kvartira-moskva-mitinskaya-ulica-734749499-2.jpg', 'https://www.cian.ru/avatar.axd?i=6784959&t=2&p=2']
;;;;;;;;
Двухуровневый Люкс! 60 вариантов!;Студия, 36 м?;Москва, СВАО, р-н Северное Медведково, Полярная ул., 31С1;2 347 ?/сутки;4 из 6;36 м?;сегодня, 08:01;https://www.cian.ru/rent/flat/164063718/;['https://cdn-p.cian.site/images/5/664/786/kvartira-moskva-polyarnaya-ulica-687466565-4.jpg', 'https://cdn-p.cian.site/images/5/664/786/kvartira-moskva-polyarnaya-ulica-687466565-4.jpg', 'https://cdn-p.cian.site/images/5/664/786/kvartira-moskva-polyarnaya-ulica-687466561-2.jpg', 'https://cdn-p.cian.site/images/5/867/204/kvartira-moskva-polyarnaya-ulica-402768559-2.jpg', 'https://cdn-p.cian.site/images/5/664/786/kvartira-moskva-polyarnaya-ulica-687466555-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
2-комн. кв., 50 м?, 6/9 этаж;2-комн. квартира, 50 м?;Москва, ЦАО, р-н Арбат, Смоленская ул., 10;3 800 ?/сутки;6 из 9;50 м?;сегодня, 14:36;https://www.cian.ru/rent/flat/221849227/;['https://cdn-p.cian.site/images/6/885/787/kvartira-moskva-smolenskaya-ulica-787588634-4.jpg', 'https://cdn-p.cian.site/images/6/885/787/kvartira-moskva-smolenskaya-ulica-787588634-4.jpg', 'https://cdn-p.cian.site/images/5/885/787/kvartira-moskva-smolenskaya-ulica-787588520-2.jpg', 'https://cdn-p.cian.site/images/5/885/787/kvartira-moskva-smolenskaya-ulica-787588517-2.jpg', 'https://cdn-p.cian.site/images/5/885/787/kvartira-moskva-smolenskaya-ulica-787588522-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
Свободна! Чистая и уютная!;1-комн. квартира, 36 м?;Москва, СВАО, р-н Отрадное, ул. Декабристов, 8К1;1 980 ?/сутки;2 из 12;36 м?;сегодня, 05:40;https://www.cian.ru/rent/flat/236490732/;['https://cdn-p.cian.site/images/1/753/519/kvartira-moskva-ulica-dekabristov-915357163-4.jpg', 'https://cdn-p.cian.site/images/1/753/519/kvartira-moskva-ulica-dekabristov-915357163-4.jpg', 'https://cdn-p.cian.site/images/1/753/519/kvartira-moskva-ulica-dekabristov-915357167-2.jpg', 'https://cdn-p.cian.site/images/1/753/519/kvartira-moskva-ulica-dekabristov-915357176-2.jpg', 'https://cdn-p.cian.site/images/1/753/519/kvartira-moskva-ulica-dekabristov-915357179-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 50 м?;Москва, ВАО, р-н Измайлово, Заводской проезд, 20;2 900 ?/сутки;3 из 5;50 м?;сегодня, 18:46;https://www.cian.ru/rent/flat/196753437/;['https://cdn-p.cian.site/images/8/422/686/kvartira-moskva-zavodskoy-proezd-686224897-4.jpg', 'https://cdn-p.cian.site/images/8/422/686/kvartira-moskva-zavodskoy-proezd-686224897-4.jpg', 'https://cdn-p.cian.site/images/8/422/686/kvartira-moskva-zavodskoy-proezd-686224897-2.jpg', 'https://cdn-p.cian.site/images/8/422/686/kvartira-moskva-zavodskoy-proezd-686224884-2.jpg', 'https://cdn-p.cian.site/images/9/422/686/kvartira-moskva-zavodskoy-proezd-686224985-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
4-комн. апарт., 90 м?, 5/9 этаж;4-комн. апартаменты, 90 м?;Москва, САО, р-н Беговой, Ленинградский просп., 1;5 000 ?/сутки;5 из 9;90 м?;сегодня, 16:46;https://www.cian.ru/rent/flat/193929220/;['https://cdn-p.cian.site/images/3/116/695/kvartira-moskva-leningradskiy-prospekt-596611388-4.jpg', 'https://cdn-p.cian.site/images/3/116/695/kvartira-moskva-leningradskiy-prospekt-596611388-4.jpg', 'https://cdn-p.cian.site/images/3/116/695/kvartira-moskva-leningradskiy-prospekt-596611384-2.jpg', 'https://cdn-p.cian.site/images/3/116/695/kvartira-moskva-leningradskiy-prospekt-596611390-2.jpg', 'https://cdn-p.cian.site/images/3/116/695/kvartira-moskva-leningradskiy-prospekt-596611374-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
